City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Harlingen,US,2022-02-03 04:15:28,26.1906,-97.6961,74.34,94,100,10.36
155,Hami,CN,2022-02-03 04:19:02,42.8,93.45,26.55,31,96,0.89
156,Bayan,CN,2022-02-03 04:19:03,46.0833,127.4,5.9,83,84,9.22
157,Pisco,PE,2022-02-03 04:19:04,-13.7,-76.2167,66.25,88,0,12.66
158,Tuktoyaktuk,CA,2022-02-03 04:19:04,69.4541,-133.0374,-18.4,76,75,10.36
159,Cape Coast,GH,2022-02-03 04:19:05,5.1053,-1.2466,78.17,83,78,5.39
160,Gua Musang,MY,2022-02-03 04:19:06,4.8823,101.9644,87.22,58,62,2.59
161,Baranain,ES,2022-02-03 04:19:07,42.8057,-1.6773,41.23,86,82,1.14
162,Axim,GH,2022-02-03 04:19:07,4.8699,-2.2405,77.65,85,58,1.16
163,Chapais,CA,2022-02-03 04:19:08,49.7834,-74.8492,2.98,91,100,6.89
164,Pevek,RU,2022-02-03 04:19:09,69.7008,170.3133,-6.81,72,2,3.98
165,Nicoya,CR,2022-02-03 04:19:09,10.1483,-85.452,73.15,78,26,3.78
166,Port Lincoln,AU,2022-02-03 04:19:10,-34.7333,135.8667,67.55,56,25,14.81
167,Svetlogorsk,BY,2022-02-03 04:19:11,52.6333,29.7333,31.46,99,100,3.22
168,Severo-Kurilsk,RU,2022-02-03 04:19:12,50.6789,156.125,30.72,77,100,9.84
169,Daoukro,CI,2022-02-03 04:19:12,7.0591,-3.9631,63.43,24,9,1.32
170,Clyde River,CA,2022-02-03 04:19:13,70.4692,-68.5914,-16.37,76,100,17.27
171,Sri Aman,MY,2022-02-03 04:19:13,1.2376,111.4621,87.85,74,40,3.44
172,Kavieng,PG,2022-02-03 04:19:14,-2.5744,150.7967,80.1,79,100,13.87
173,Chuy,UY,2022-02-03 04:19:14,-33.6971,-53.4616,70.32,90,1,10.89
174,Chokurdakh,RU,2022-02-03 04:19:14,70.6333,147.9167,-23.35,98,68,6.58
175,Colares,PT,2022-02-03 04:19:15,38.7992,-9.4469,55.33,75,100,1.01
176,Luderitz,NA,2022-02-03 04:19:15,-26.6481,15.1594,67.08,80,58,5.14
177,Victoria,HK,2022-02-03 04:15:54,22.2855,114.1577,60.24,82,100,5.01
178,Porto Recanati,IT,2022-02-03 04:19:15,43.4365,13.6613,47.3,10,0,10.94
179,Souillac,MU,2022-02-03 04:19:16,-20.5167,57.5167,80.98,89,75,27.63
180,Fort Pierce,US,2022-02-03 04:19:16,27.4467,-80.3256,72.05,72,0,5.01
181,Akdepe,TM,2022-02-03 04:19:17,42.0551,59.3788,30.29,73,6,10.76
182,Nanortalik,GL,2022-02-03 04:19:18,60.1432,-45.2371,18.99,79,100,11.97
183,Anadyr,RU,2022-02-03 04:19:19,64.75,177.4833,14.5,73,0,33.55
184,Khasan,RU,2022-02-03 04:19:19,42.4308,130.6434,21.2,44,3,20.58
185,Los Llanos De Aridane,ES,2022-02-03 04:19:19,28.6585,-17.9182,65.12,71,0,1.01
186,Sitka,US,2022-02-03 04:19:20,57.0531,-135.33,37.29,93,100,3.44
187,Nemuro,JP,2022-02-03 04:18:06,43.3236,145.575,27.03,65,7,6.58
188,Praya,CV,2022-02-03 04:19:20,14.9215,-23.5087,72.14,60,1,20.71
189,Carmen Del Parana,PY,2022-02-03 04:20:21,-27.2333,-56.2167,87.93,38,10,5.99
190,Kiruna,SE,2022-02-03 04:20:21,67.8557,20.2251,-3.08,92,100,0.0
191,Alta Floresta,BR,2022-02-03 04:20:21,-9.8756,-56.0861,71.17,95,78,1.63
192,Pangnirtung,CA,2022-02-03 04:20:22,66.1451,-65.7125,6.22,82,100,8.57
193,Bluff,NZ,2022-02-03 04:20:23,-46.6,168.3333,57.79,61,100,17.05
194,Hirara,JP,2022-02-03 04:20:23,24.8,125.2833,71.87,88,75,8.05
195,Yerbogachen,RU,2022-02-03 04:20:24,61.2767,108.0108,1.35,94,100,6.49
196,Ahipara,NZ,2022-02-03 04:20:24,-35.1667,173.1667,74.97,66,92,13.35
197,Taltal,CL,2022-02-03 04:20:25,-25.4,-70.4833,67.32,75,0,2.8
198,Rock Sound,BS,2022-02-03 04:20:25,24.9,-76.2,73.15,64,4,18.52
199,Makakilo City,US,2022-02-03 04:20:26,21.3469,-158.0858,75.56,64,100,3.44
200,Troitsko-Pechorsk,RU,2022-02-03 04:20:26,62.7084,56.1964,21.04,95,100,6.91
201,Sandpoint,US,2022-02-03 04:20:27,48.2766,-116.5533,22.68,80,100,0.0
202,Ust-Nera,RU,2022-02-03 04:20:27,64.5667,143.2,-6.56,99,100,2.46
203,Iqaluit,CA,2022-02-03 04:20:28,63.7506,-68.5145,10.13,85,75,10.36
204,Swakopmund,NA,2022-02-03 04:20:29,-22.6833,14.5333,65.98,84,1,3.0
205,Weyburn,CA,2022-02-03 04:20:29,49.6668,-103.8511,-19.82,69,21,10.36
206,Gazojak,TM,2022-02-03 04:18:06,41.1875,61.4036,37.31,58,0,10.16
207,Awjilah,LY,2022-02-03 04:20:30,29.1081,21.2869,50.16,69,19,17.45
208,Saint George,US,2022-02-03 04:20:31,37.1041,-113.5841,36.63,24,0,1.99
209,Condado,CU,2022-02-03 04:20:31,21.8767,-79.8403,72.45,90,5,7.4
210,Port Hardy,CA,2022-02-03 04:20:32,50.6996,-127.4199,41.76,93,100,13.8
211,Ponta Delgada,PT,2022-02-03 04:20:32,37.7333,-25.6667,60.49,82,20,8.05
212,Villa Carlos Paz,AR,2022-02-03 04:20:33,-31.4241,-64.4978,68.25,42,54,1.01
213,Micheweni,TZ,2022-02-03 04:20:34,-4.9667,39.8333,79.97,81,98,8.03
214,Ossora,RU,2022-02-03 04:20:34,59.2353,163.0719,10.38,77,100,10.27
215,Mawlaik,MM,2022-02-03 04:20:35,23.6333,94.4167,71.26,44,0,3.58
216,Gat,IL,2022-02-03 04:20:35,31.61,34.7642,54.39,50,0,7.25
217,Georgetown,MY,2022-02-03 04:20:36,5.4112,100.3354,91.33,74,40,3.44
218,Broome,US,2022-02-03 04:20:36,42.2506,-75.833,40.37,78,100,1.99
219,Mbour,SN,2022-02-03 04:20:37,14.422,-16.9638,72.45,71,73,7.27
220,Ostrov,RU,2022-02-03 04:20:38,57.3439,28.3537,19.13,98,100,2.37
221,Wynyard,AU,2022-02-03 04:20:38,-41.0,145.7167,71.98,44,65,8.95
222,Rudnogorsk,RU,2022-02-03 04:20:38,57.2639,103.7519,-2.13,95,98,2.26
223,Dingle,PH,2022-02-03 04:20:39,10.9995,122.6711,84.78,67,81,14.54
224,Lagoa,PT,2022-02-03 04:20:40,39.05,-27.9833,57.31,73,2,2.13
225,Gao,ML,2022-02-03 04:20:40,16.6362,1.637,59.92,15,18,13.51
226,Longyearbyen,SJ,2022-02-03 04:20:40,78.2186,15.6401,13.84,67,0,23.02
227,Khatanga,RU,2022-02-03 04:20:41,71.9667,102.5,-35.3,99,33,1.36
228,Along,IN,2022-02-03 04:20:41,28.1667,94.7667,61.72,57,96,0.92
229,Doha,QA,2022-02-03 04:20:42,25.2867,51.5333,60.78,72,0,3.44
230,Tianpeng,CN,2022-02-03 04:20:43,30.9866,103.9393,41.47,60,9,4.56
231,Dembi Dolo,ET,2022-02-03 04:20:43,8.5333,34.8,65.05,41,91,4.09
232,Guerrero Negro,MX,2022-02-03 04:20:44,27.9769,-114.0611,58.73,28,0,15.86
233,Fort-Shevchenko,KZ,2022-02-03 04:20:44,44.5086,50.263,41.68,77,46,17.47
234,Aldan,RU,2022-02-03 04:21:45,58.6031,125.3894,-9.83,91,100,5.14
235,Saint-Georges,GD,2022-02-03 04:21:45,12.0564,-61.7485,78.48,78,20,23.02
236,Ewa Beach,US,2022-02-03 04:21:46,21.3156,-158.0072,76.98,63,75,0.0
237,Serafimovich,RU,2022-02-03 04:21:46,49.5786,42.736,36.63,100,100,14.32
238,Jacmel,HT,2022-02-03 04:21:47,18.2342,-72.5347,73.24,80,18,3.69
239,Marsh Harbour,BS,2022-02-03 04:21:47,26.5412,-77.0636,71.04,72,46,20.94
240,Padang,ID,2022-02-03 04:19:48,-0.9492,100.3543,84.25,67,76,3.85
241,Coahuayana,MX,2022-02-03 04:21:48,18.7333,-103.6833,66.33,83,0,3.69
242,Vao,NC,2022-02-03 04:21:49,-22.6667,167.4833,79.48,71,100,8.28
243,Bad Harzburg,DE,2022-02-03 04:21:50,51.8833,10.5667,39.88,88,100,5.66
244,Port Alfred,ZA,2022-02-03 04:21:50,-33.5906,26.891,73.04,91,90,12.35
245,Sterling,US,2022-02-03 04:21:51,39.0062,-77.4286,43.52,87,100,3.44
246,Atikokan,CA,2022-02-03 04:21:51,48.7555,-91.6216,-16.82,97,100,5.06
247,Mazatlan,MX,2022-02-03 04:21:51,23.2167,-106.4167,70.02,85,20,0.0
248,Villanueva De La Serena,ES,2022-02-03 04:21:52,38.9766,-5.7974,49.82,76,50,3.0
249,Gubkinskiy,RU,2022-02-03 04:17:20,64.434,76.5026,13.57,95,100,12.59
250,Atar,MR,2022-02-03 04:21:52,20.5169,-13.0499,68.67,23,0,7.29
251,Garowe,SO,2022-02-03 04:21:53,8.4054,48.4845,64.58,82,0,7.92
252,Mackenzie,CA,2022-02-03 04:21:53,55.2999,-123.1698,3.42,92,100,2.3
253,Gberia Fotombu,SL,2022-02-03 04:21:53,9.8833,-11.1667,66.15,14,5,4.38
254,Nueva Italia,PY,2022-02-03 04:21:54,-25.6167,-57.5,85.66,45,89,10.07
255,Demba,CD,2022-02-03 04:21:55,-5.51,22.2667,68.56,99,100,0.87
256,Pangody,RU,2022-02-03 04:21:56,65.85,74.4859,5.2,96,100,12.24
257,Ocos,GT,2022-02-03 04:21:56,14.5094,-92.1933,79.32,73,1,2.77
258,Nalut,LY,2022-02-03 04:21:57,30.3333,10.85,41.97,56,11,9.8
259,Kiunga,PG,2022-02-03 04:21:57,-6.1219,141.2906,93.63,39,98,3.44
260,Olinda,BR,2022-02-03 04:21:57,-8.0089,-34.8553,82.13,74,40,5.75
261,Marzuq,YE,2022-02-03 04:21:58,14.4,46.4667,59.77,37,16,2.57
262,Vestmannaeyjar,IS,2022-02-03 04:21:58,63.4427,-20.2734,29.05,80,72,16.64
263,Bighapur,IN,2022-02-03 04:21:58,26.35,80.6833,57.25,56,82,16.04
264,Buta,CD,2022-02-03 04:21:59,2.7858,24.73,72.9,59,100,0.54
265,Chabahar,IR,2022-02-03 04:22:00,25.2919,60.643,68.25,35,0,10.29
266,Nisia Floresta,BR,2022-02-03 04:22:01,-6.0911,-35.2086,80.98,85,67,6.26
267,Saint-Joseph,RE,2022-02-03 04:22:01,-21.3667,55.6167,82.78,92,100,34.38
268,Abu Samrah,SY,2022-02-03 04:22:02,35.3029,37.1841,45.54,58,66,10.51
269,Ca Mau,VN,2022-02-03 04:22:03,9.1769,105.15,90.05,49,62,14.76
270,Cooma,AU,2022-02-03 04:22:04,-36.2333,149.1333,66.65,35,3,12.3
271,Lethem,GY,2022-02-03 04:22:05,3.3803,-59.7968,79.05,65,18,10.33
272,Rincon,US,2022-02-03 04:22:05,32.296,-81.2354,59.45,95,75,4.61
273,Codrington,AU,2022-02-03 04:22:07,-38.2667,141.9667,61.75,61,99,16.73
274,Shelburne,CA,2022-02-03 04:19:47,44.0787,-80.2041,24.76,95,100,12.82
275,Qurayyat,SA,2022-02-03 04:22:08,31.3318,37.3428,42.98,52,0,0.0
276,Yulara,AU,2022-02-03 04:22:08,-25.2406,130.9889,75.04,41,100,14.97
277,Mwinilunga,ZM,2022-02-03 04:22:09,-11.7358,24.4293,59.56,97,100,3.02
278,Huarmey,PE,2022-02-03 04:22:09,-10.0681,-78.1522,71.06,81,97,10.04
279,Hofn,IS,2022-02-03 04:23:10,64.2539,-15.2082,30.99,62,100,13.65
280,Vardo,NO,2022-02-03 04:23:10,70.3705,31.1107,29.59,56,100,17.96
281,Viedma,AR,2022-02-03 04:23:10,-40.8135,-62.9967,71.38,43,38,6.35
282,Zhangjiakou,CN,2022-02-03 04:23:11,40.81,114.8794,17.64,43,15,7.43
283,Muyezerskiy,RU,2022-02-03 04:23:11,63.9333,31.65,-3.55,100,96,2.68
284,Hasaki,JP,2022-02-03 04:23:12,35.7333,140.8333,53.89,37,100,6.96
285,Vila Franca Do Campo,PT,2022-02-03 04:23:12,37.7167,-25.4333,60.19,76,62,8.99
286,Caravelas,BR,2022-02-03 04:23:12,-17.7125,-39.2481,75.02,91,17,3.38
287,Garden City,US,2022-02-03 04:21:12,42.3256,-83.331,25.48,91,100,10.36
288,Havre-Saint-Pierre,CA,2022-02-03 04:23:13,50.2334,-63.5986,28.99,93,100,11.5
289,Kabalo,CD,2022-02-03 04:23:13,-6.05,26.9167,68.56,96,100,2.13
290,Aswan,EG,2022-02-03 04:23:14,24.0934,32.907,55.85,36,0,5.86
291,Hidalgo,MX,2022-02-03 04:23:14,20.5,-99.0,63.97,53,50,2.28
292,Palmer,US,2022-02-03 04:23:14,42.1584,-72.3287,39.85,82,100,0.0
