City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
265,Matara,LK,5.9485,80.5353,73.85,84,17,7.94,few clouds
266,Houma,US,29.5958,-90.7195,42.01,66,0,4.65,clear sky
267,Udachnyy,RU,66.4167,112.4,-29.09,100,90,1.72,overcast clouds
268,Moroni,KM,-11.7022,43.2551,78.87,84,100,2.89,overcast clouds
269,Bataipora,BR,-22.2953,-53.2711,72.19,97,100,4.03,overcast clouds
270,Chingirlau,KZ,51.095,54.0814,18.25,97,99,4.25,light snow
271,Henties Bay,NA,-22.116,14.2845,66.85,80,97,0.81,overcast clouds
272,Lengshuijiang,CN,27.6881,111.4294,41.43,84,100,2.77,overcast clouds
273,San Cristobal,VE,7.7669,-72.225,71.78,92,33,1.43,scattered clouds
274,Tabou,CI,4.423,-7.3528,78.96,86,28,5.59,light rain
275,El Tigre,VE,8.8875,-64.2454,79.57,56,84,10.71,broken clouds
276,Yugo-Kamskiy,RU,57.7053,55.5894,17.62,95,89,7.07,overcast clouds
277,Palasa,IN,18.7667,84.4167,67.12,57,99,5.19,overcast clouds
278,Tullow,IE,52.8003,-6.7369,49.39,93,100,18.75,moderate rain
279,Laguna,US,38.421,-121.4238,59.5,60,0,0.0,clear sky
280,Goderich,CA,43.7501,-81.7165,15.91,73,91,8.05,overcast clouds
281,Caravelas,BR,-17.7125,-39.2481,75.99,88,19,5.59,few clouds
282,Muyinga,BI,-2.8333,30.3333,56.7,96,96,4.03,overcast clouds
283,Vila Velha,BR,-20.3297,-40.2925,76.95,86,0,8.05,clear sky
284,San Andres,CO,12.5847,-81.7006,80.62,74,20,10.36,few clouds
285,Afonso Bezerra,BR,-5.4983,-36.5056,78.03,70,5,10.78,clear sky
286,Mastic Beach,US,40.7668,-72.8521,23.2,57,0,1.99,clear sky
287,Bandarbeyla,SO,9.4942,50.8122,73.35,76,10,7.54,clear sky
288,Trairi,BR,-3.2778,-39.2689,77.4,85,11,6.44,few clouds
289,Casas Grandes,MX,30.3667,-107.95,43.43,27,0,3.38,clear sky
290,Oyama,JP,36.3,139.8,45.03,26,28,10.11,scattered clouds
291,Padang,ID,-0.9492,100.3543,77.05,89,100,3.6,overcast clouds
292,Basiad,PH,14.1562,122.3375,81.59,69,99,14.34,overcast clouds
293,Pirapo,PY,-26.85,-55.5333,69.98,87,93,1.66,overcast clouds
294,Llanes,ES,43.4198,-4.7549,45.9,62,2,4.59,clear sky
295,Puerto Escondido,MX,15.85,-97.0667,77.83,78,0,5.75,clear sky
296,Krasnoye,UA,49.9145,24.6134,34.95,89,77,10.56,broken clouds
297,Ponta Delgada,PT,37.7333,-25.6667,60.49,82,20,12.66,few clouds
298,Santarem,BR,-2.4431,-54.7083,77.13,100,40,3.44,light rain
299,Teguldet,RU,57.3064,88.1667,11.57,94,100,4.88,overcast clouds
300,Necochea,AR,-38.5473,-58.7368,60.04,68,100,20.15,overcast clouds
301,Galveston,US,29.3669,-94.9669,43.97,67,0,3.44,clear sky
302,Denpasar,ID,-8.65,115.2167,85.71,74,20,8.05,few clouds
303,Inuvik,CA,68.3499,-133.7218,-31.94,68,75,2.3,light snow
304,Saskylakh,RU,71.9167,114.0833,-30.93,100,97,2.93,overcast clouds
305,Esbjerg,DK,55.4667,8.45,44.49,91,75,8.01,light rain
306,Gorno-Altaysk,RU,51.9561,85.955,2.77,85,9,6.02,clear sky
307,Oktyabrskiy,RU,54.4815,53.471,18.55,97,98,2.28,overcast clouds
308,Bairiki,KI,1.3292,172.9752,87.8,70,20,12.66,few clouds
309,Santiago,CL,-33.4569,-70.6483,77.29,40,0,11.5,clear sky
310,Ulcinj,ME,41.9294,19.2244,46.92,79,35,8.66,scattered clouds
311,Otavi,NA,-19.65,17.3333,63.18,93,100,4.7,light rain
312,Shkoder,AL,42.0683,19.5126,46.9,81,11,5.1,few clouds
313,Yulara,AU,-25.2406,130.9889,85.84,20,0,12.66,clear sky
314,Karratha,AU,-20.7377,116.8463,91.02,55,49,12.48,scattered clouds
315,Mahanoro,MG,-19.9,48.8,80.46,68,100,16.64,overcast clouds
316,Poum,NC,-20.2333,164.0167,79.5,88,100,11.32,light rain
317,Cidreira,BR,-30.1811,-50.2056,74.61,88,88,3.18,overcast clouds
318,Oranjemund,NA,-28.55,16.4333,66.43,82,95,1.45,overcast clouds
319,Khlevnoye,RU,52.1951,39.0932,14.02,96,100,7.96,light snow
320,Bani Walid,LY,31.7566,13.9942,55.89,33,100,2.39,overcast clouds
321,Warmbad,NA,-28.45,18.7333,85.51,28,85,9.04,overcast clouds
322,Avera,US,33.194,-82.5271,42.31,52,0,7.54,clear sky
323,Rabo De Peixe,PT,37.8,-25.5833,59.27,91,20,12.66,few clouds
324,Guarapuava,BR,-25.3953,-51.4581,61.12,100,100,2.59,overcast clouds
325,Fare,PF,-16.7,-151.0167,81.12,74,25,19.33,light rain
326,Garwa,IN,24.1833,83.8167,51.31,66,3,3.13,clear sky
327,Port Hardy,CA,50.6996,-127.4199,44.78,81,100,8.05,overcast clouds
328,Mocuba,MZ,-16.8392,36.9856,67.62,98,84,4.81,broken clouds
329,Le Port,RE,-20.9373,55.2919,78.8,79,100,15.86,light rain
330,Nyurba,RU,63.2842,118.3319,-12.93,100,100,2.06,overcast clouds
331,Berdigestyakh,RU,62.0989,126.6992,-12.33,99,98,2.15,overcast clouds
332,Aklavik,CA,68.2191,-135.0107,-31.97,88,60,0.6,broken clouds
333,Ulsteinvik,NO,62.3432,5.8487,38.98,76,99,23.0,light rain
334,Coihaique,CL,-45.5752,-72.0662,57.81,72,0,4.61,clear sky
335,Sao Cristovao,BR,-11.0147,-37.2064,82.31,74,75,10.36,broken clouds
336,Pierre,US,44.3683,-100.351,42.28,53,0,7.0,clear sky
337,Dongzhen,CN,22.3797,110.9389,60.15,64,98,3.91,overcast clouds
338,Nishihara,JP,26.1842,127.7558,62.26,51,40,16.11,scattered clouds
339,Paamiut,GL,61.994,-49.6678,-2.4,84,100,9.35,overcast clouds
340,Bodden Town,KY,19.2833,-81.25,77.0,76,0,1.99,clear sky
341,Souillac,MU,-20.5167,57.5167,79.36,88,75,10.36,broken clouds
342,Noumea,NC,-22.2763,166.4572,89.58,80,55,10.16,light rain
343,Harper,LR,4.375,-7.7169,78.98,86,44,5.75,light rain
344,Olonets,RU,60.9847,32.9698,18.97,95,100,9.24,light snow
345,La Ronge,CA,55.1001,-105.2842,-3.75,71,100,1.14,overcast clouds
